Image_ID,Label
nRhHxqLhDlJsiXc,0.31690574732821397
gbSntVovxgHQrmO,0.10151610930107537
nqOobGmvgEOiPms,0.5737938792476402
oIkPTooLcIbZKlF,0.6725133697005352
eSKxsTTJDQzkjgD,0.5978028247049028
fGOKonqqErFfiuK,0.9121534855461166
UZPfNzWrCgFaaNz,0.2506507001306847
kvesbcrtTOohiLT,0.2511365442232082
cdEZEDZaveknkKa,0.7884664183133409
GaSSOeqyIktsAmW,0.533929372666362
HPeQFgWaAXYUudP,0.699366352519436
QCiNkpJJqhUrhJw,0.37262689774444824
ZghFqBtZjgFNhEd,0.38318106761837695
IypiZpxWuQzqFtX,0.36075683293328464
MpjOfMFyHcLtxEe,0.4003568992785888
jtyOoBrAZpMYhPd,0.41820719819737795
xKSvNuUFXtfsxcL,0.4031438098397052
PxzQoNBqWwxhxHU,0.3821019369200278
eBIGOMITtVDxgco,0.989887476880063
YGldCVpEhmDhCfB,0.35386185166824424
YsIrfIbUTFAVLuA,0.6009145279359194
BADSMkRmwapihnH,0.6529568488404106
zRjjLRTcHldvsDO,0.27158067023336574
uxiNbcCqYnHBdoT,0.39449061907960936
MEPpiRYJgJLRYpW,0.4038011092551569
YIUlgjNqemMwGtW,0.13223690081412248
jBduUjHTqYJvtVv,0.3039910783335692
yXCylbJUfTvbPcj,0.5933706734235717
OcTWRvWjeDQRbVu,0.26291720894047477
UIRJNpxPYfnOkVk,0.7188489748561215
liaachxlQBtQtrt,0.3319946451617854
FRoaAYgXCZAbqhT,0.8726677111968291
XpVRWdOwHqgrAwd,0.3958590015824677
jesIJJxSBMDKKkU,0.38766168248956095
mQTgbtIqRFbiHKR,0.9969796071424356
kYCaCaWHAwiixcL,0.40005895340463976
dRjdzOaYOPfIXqT,0.6097675499815072
kqiEGxhjuxITUrt,0.10317123600010852
MGIEIPuEyTyUKoG,0.8146024396134288
KChuIIZYEbXokqa,0.6393707919209354
nOXmmOnZRUrsMsN,0.5480033865097378
blahbLZUXmUQjfs,0.1982972638795658
rgLzgwLcEsqQoFB,0.8321967494434859
eIVcQkttSPownJW,0.7970869051136622
ZSfWLxjUSwJFMHj,0.26326463888380963
oBzJltkaseFBkGv,0.2608122266000974
pNtLdgurKfkyZGk,0.6115144372833625
DvwHNDZgHvhExzq,0.5895235727714325
VVEizBVchRknozY,0.7412435019044552
SwtfDkGcdFdwKhn,0.38384411895490794
SzRvJnmKavZsRDr,0.8271479836026587
ntRzuMHumxJhCbk,0.24249878527209784
NVnfyexBrFknKnQ,0.4151823577021244
VEkCOPvKkAuXpmm,0.7790472378744193
DRCxXJxxcewFNiy,0.8831771366188965
hbpVKqpWQHCqWCV,0.6374259480159367
MNuHMWYdgfOZhTk,0.5919948262014679
RtMQAXGzjCOsAsl,0.5952664630882153
